State, Community Name,Population,AgePct16t24,NumbUrban,NumUnderPov,PctNotHSGrad,PctUnemployed,PctWorkMom,perCapInc,ViolentCrimesPerPop
51,Lynchburg City,0.09,0.5,0.1,,0.53,0.36,0.62,0.26,0.31
6,Foster City,0.03,0.26,0.04,0.01,0.05,0.16,0.62,0.8,0.08
18,Evansville City,0.19,0.3,,0.16,0.48,0.45,0.66,0.25,0.24
6,LaVerne City,0.03,0.3,0.05,0.01,0.25,0.2,,0.46,0.11
41,Woodburn City,0.01,0.26,0,0.03,0.64,0.34,0.34,0.14,0.22
40,Altus City,0.02,0.41,0,0.03,0.42,0.5,0.38,0.18,0.13
34,Plainsboro Township,0.01,0.26,0,0,,0.16,0.41,0.78,0.07
34,Little Egg Harbor Township,0.01,0.2,0,0,0.44,0.51,0.32,0.31,0.11
44,East Providence City,0.06,0.26,0.08,0.03,0.58,0.33,0.72,0.32,0.06
1,Fairfield City,0,0.27,0.02,0.02,0.5,0.56,0.83,0.16,0.8
6,Carlsbad City,0.09,0.24,0.1,0.04,0.15,0.27,0.47,0.57,0.22
34,Paramus Borough,0.02,0.27,0.04,0.01,0.23,0.18,0.11,0.59,0.17
8,Fort Collins City,0.12,0.73,0.14,0.13,0.12,0.34,0.55,0.28,0.16
34,Winslow Township,0.03,0.25,0.03,0.02,0.41,0.32,0.62,0.3,0.2
35,Artesia City,0,0.24,0,0.02,0.62,0.45,0.23,0.18,0.12
8,Littleton City,0.04,0.26,0.05,0.02,0.15,0.26,0.71,0.45,0.11
33,Claremont City,0.01,0.28,0,,0.57,0.47,0.65,0.22,0.12
18,Kokomo City,0.06,0.29,0.07,0.07,0.45,0.54,0.48,0.26,0.2
6,Riverside City,0.35,0.42,0.36,0.24,0.38,0.44,0.37,0.31,0.68
34,Pennsauken Township,0.04,0.24,0.05,,0.43,0.23,0.45,0.33,0.23
34,Medford Township,0.02,0.3,0.03,0,0.14,0.24,0.36,0.67,0.05
39,Franklin City,0,0.35,0.02,0.02,0.7,0.53,0.4,0.18,0.1
48,Mineral Wells City,0.01,0.3,0,,0.66,0.65,0.35,0.13,0.28
6,Concord City,0.16,0.3,0.18,,,0.25,0.6,0.43,0.22
53,Centralia City,0,0.28,0,0.02,0.46,0.44,0.34,0.19,0.22
1,Huntsville City,0.24,0.38,0.25,0.16,0.3,0.33,0.54,0.38,0.55
34,Manville Borough,0,0.24,0.02,0,0.48,0.22,0.74,0.38,0.05
34,Hawthorne Borough,0.01,0.24,0.03,0,0.39,0.2,0.29,0.49,0.03
51,Staunton City,0.02,0.31,0,0.02,0.49,0.18,0.68,0.27,0.07
41,LaGrande City,0,0.49,0,0.02,0.32,0.47,0.57,0.18,0.07
4,CasaGrande City,0.01,0.31,0,0.03,0.48,0.51,0.5,0.21,0.57
6,Banning City,0.02,0.22,0,0.03,0.65,0.74,0.18,0.21,0.37
6,Manhattan Beach City,0.04,0.19,0.05,0.01,0.04,0.08,0.53,1,0.14
37,Gastonia City,0.07,0.32,0.09,0.07,0.66,0.31,0.58,0.26,0.61
34,Mahwah Township,0.01,0.39,0.03,0,0.15,0.21,0.24,0.78,0.03
34,PerthAmboy City,0.05,0.37,0.07,0.06,0.89,0.75,,0.21,0.5
36,Oneida City,0,0.29,0,0.01,0.4,0.23,0.56,0.22,0.05
29,Chesterfield City,0.04,0.25,0.06,0.01,0.09,0.07,,0.79,0.04
6,Petaluma City,0.05,0.24,0,0.02,0.22,0.2,0.6,0.41,0.21
19,CedarFalls City,0.04,0.91,0.05,0.04,0.18,0.29,0.56,0.24,0.05
9,Guilford Town,0.02,0.2,0,0,0.12,0.18,0.58,0.67,0.02
9,Meriden Town,0.08,0.27,0.09,0.04,0.47,0.3,0.63,0.36,0.14
25,Yarmouth Town,0.02,0.16,0.03,0.02,0.22,0.51,0.54,0.34,0.18
40,Del City,0.02,0.31,0.04,0.03,0.39,0.51,0.63,0.2,0.12
48,Port Arthur City,0.08,0.26,0.09,0.15,0.61,0.89,0.4,0.15,0.68
8,Pueblo City,0.14,0.29,0.16,0.19,0.46,0.62,0.38,0.17,0.7
8,Aurora City,0.34,0.28,0.35,0.15,0.14,0.26,0.72,0.35,0.75
36,Yonkers City,0.29,0.28,0.3,0.19,0.45,0.4,0.24,0.42,0.3
49,Ogden City,0.09,0.38,0.1,0.09,0.43,0.54,0.56,0.19,0.24
48,Vernon City,0,0.3,0,0.02,0.69,0.33,0.78,0.15,1
39,Poland Township,0.01,0.21,0.02,0,0.19,0.23,0.41,0.35,0
46,Vermillion City,0,1,0,0.02,0.21,0.43,0.6,0.11,0.03
29,Carthage City,0,0.23,0,0.01,0.53,0.32,0.53,0.19,0.06
4,LakeHavasu City,0.02,0.14,0,0.02,0.35,0.15,0.62,0.32,0.08
6,SealBeach City,0.02,0.13,0.04,0.01,0.22,0.12,0.51,0.71,0.1
41,Lebanon City,0,0.26,0,0.02,0.48,0.71,0.51,0.17,0.27
6,Yucaipa City,0.04,0.18,0.05,0.02,0.45,0.3,,0.31,0.15
12,KeyWest City,0.02,0.26,0,0.02,0.34,0.12,0.78,0.36,0.63
28,Clinton City,0.02,0.44,0.03,0.02,0.21,0.16,0.73,0.33,0.05
44,EastGreenwich Town,0,0.24,0.01,0,0.15,0.21,0.25,0.72,0.03
41,Gladstone City,0,0.27,0.02,0,0.23,0.18,0.75,0.31,0.12
6,RohnertPark City,0.04,0.44,0.06,0.03,0.19,0.31,0.61,0.33,0.4
25,Malden City,0.07,0.32,0.09,0.04,0.37,0.49,0.5,0.37,0.37
6,Eureka City,0.03,0.29,0,0.04,0.35,0.56,0.39,0.27,0.45
19,Ames City,0.06,1,0,0.08,0.05,0.23,0.6,0.21,0.04
9,Wolcott Town,0.01,0.3,0.01,0,0.36,0.35,0.68,0.44,0.09
33,Manchester City,0.14,0.35,0.16,0.08,0.43,0.45,0.73,0.34,0.09
40,Lawton City,0.11,0.39,0.13,0.11,0.31,0.61,0.45,,0.39
34,Wallington Borough,0,0.26,0.02,0,0.53,0.52,0.52,0.39,0.02
12,Hollywood City,0.18,0.2,0.19,0.12,0.47,0.37,0.59,0.38,0.34
48,Amarillo City,0.24,0.29,0.25,0.24,0.41,0.42,0.52,0.26,0.28
46,Yankton City,0,0.3,0,0.01,0.35,0.07,0.9,0.2,0.08
22,Bogalusa City,0.01,0.25,0,0.05,0.68,1,0.4,0.1,0.44
6,San Luis Obispo City,0.05,1,0.07,0.1,0.17,0.34,0.57,0.33,0.24
42,West Goshen Township,0.01,0.27,0.03,0,0.16,0.07,0.66,0.53,0.09
48,ElCampo City,0,0.26,0,0.02,0.72,0.53,0.48,0.21,0.26
4,Tucson City,0.64,0.46,0.64,0.72,0.36,0.53,0.52,0.21,0.4
12,Boynton Beach City,0.06,0.16,0.07,0.04,0.46,0.31,0.67,0.4,0.56
42,West Manchester Township,0.01,0.23,0.02,0,0.42,0.15,0.71,0.34,0.05
25,Easton Town,0.02,0.49,0.02,0.01,0.14,0.26,0.63,0.48,0.06
6,Santa Clara City,0.13,0.39,0.15,0.05,0.27,0.24,0.58,,0.2
6,Marysville City,0,0.31,0.02,0.02,0.41,0.8,0.23,0.23,0.51
34,West Windsor Township,0.01,0.22,0,0,0.07,0.12,0.27,0.88,0.04
6,Inglewood City,0.16,0.4,0.17,0.16,0.6,0.68,0.49,0.23,0.86
42,Marple Township,0.02,0.22,0.04,0.01,0.22,0.09,0.36,0.52,0.05
12,Ormond Beach City,0.03,0.17,0.05,0.02,0.26,0.22,0.57,0.47,0.06
6,Santa Monica City,0.12,0.15,0.14,0.07,0.19,0.27,0.43,0.83,0.68
12,Davie Town,0.06,0.27,0.07,0.03,0.32,0.26,0.59,0.4,0.22
34,Scotch Plains Township,0.02,0.23,0.03,0,0.19,0.19,0.43,0.76,0.05
39,Delhi Township,0.03,0.32,0.05,0.01,0.29,0.13,0.67,0.33,0.03
45,Mauldin City,0,0.28,0.02,0,0.18,0.11,0.74,,0.09
33,Keene City,0.02,0.61,0,0.01,0.27,0.4,0.71,0.31,0.17
39,Oregon City,0.01,0.31,0.03,0.01,0.41,0.41,0.54,0.32,0.17
42,Lower Paxton Township,0.05,0.25,0.06,0.01,0.2,0.06,0.62,0.46,0.17
6,Loma Linda City,0.01,0.35,0.03,0.02,0.27,0.26,0.4,0.35,0.14
6,Watsonville City,0.03,0.36,0.05,0.04,0.83,0.75,0.5,0.18,0.62
39,Dover City,0,0.18,0,0.01,0.37,0.42,0.5,0.26,0.03
28,Natchez City,0.02,0.27,0,0.05,0.54,0.86,0.5,0.18,0.23
25,Belcher Town,0,0.22,0,0.01,0.33,0.19,0.59,0.35,0.15
16,Caldwell City,0.01,0.37,0,0.03,0.58,0.4,0.74,0.15,0.13
6,LaMirada City,0.05,0.39,0.06,0.01,0.31,0.25,0.51,0.39,0.27
34,Clifton City,0.1,0.23,0.11,0.03,0.47,0.26,0.55,0.47,0.08
34,New Milford Borough,0.01,0.23,0.03,0,0.31,0.34,0.4,0.5,0.06
25,Wilbraham Town,0,0.22,0.01,0,0.19,0.21,0.59,0.57,0.09
6,Campbell City,0.04,0.28,0.06,0.02,0.17,0.16,0.61,0.54,0.16
47,Union City,0,0.33,0,0.02,0.61,0.49,0.54,0.23,0.38
6,Orinda City,0.01,0.11,0.03,0,0.02,0.13,0.24,1,0.02
6,Folsom City,0.03,0.22,0.05,0.01,0.26,0.22,0.59,0.43,0.08
33,Salem Town,0.03,0.28,0.03,0.01,0.29,0.39,0.66,0.44,0.09
5,West Memphis City,0.03,0.34,0.04,0.06,0.66,0.55,0.62,0.16,0.3
34,Vernon Township,0.02,0.21,0,0,0.15,0.28,0.32,0.42,0.05
6,Clovis City,0.06,0.33,0.08,0.05,0.3,0.35,0.57,0.27,0.17
25,Lowell City,0.15,0.45,0.16,0.16,0.6,0.73,0.4,,0.53
22,Baton Rouge City,0.34,0.54,0.35,0.5,0.39,0.62,0.53,,1
42,Pottsville City,0.01,0.27,0,0.02,0.53,0.46,0.49,0.22,0.05
12,Bartow City,0.01,0.33,0,0.02,0.58,0.38,0.64,0.21,0.63
12,Plant City,0.02,0.28,0,0.04,0.56,0.31,0.41,0.24,1
48,San Angelo City,0.12,0.43,0.13,0.13,0.5,0.5,0.61,0.21,0.21
37,Fayetteville City,0.11,0.44,0.12,0.12,0.35,0.47,0.44,0.26,0.86
39,Wadsworth City,0.01,0.22,0.02,0.01,0.34,0.34,0.35,0.33,0.03
44,Cumberland Town,0.03,0.25,0.04,0.01,0.43,0.32,0.67,0.41,0.26
12,Lake City,0,0.26,0,0.02,0.58,0.53,0.53,0.17,0.87
34,Passaic City,0.08,0.4,0.09,0.09,0.79,0.75,0.6,0.2,0.44
6,Lafayette City,0.02,0.18,0.04,0.01,0.04,0.07,0.38,1,0.03
37,Henderson City,0.01,0.31,0,0.03,0.78,0.51,0.72,0.2,0.73
12,Clearwater City,0.14,0.21,0.16,0.09,0.33,0.27,0.62,0.4,0.48
40,Owasso City,0,0.24,0,0.01,0.26,0.2,0.55,0.25,0.06
29,Rolla City,0.01,0.91,0,0.02,0.39,0.42,0.46,0.17,0.07
9,Branford Town,0.03,0.21,0.04,0.01,0.22,0.22,0.55,0.6,0.03
25,Braintree Town,0.04,0.3,0.05,0.01,0.19,0.42,0.5,0.46,0.17
25,Dedham Town,0.02,0.3,0.04,0.01,0.26,0.32,0.48,0.48,0.11
34,Springfield Township,0.01,0.14,0.02,0,0.25,0.17,0.55,0.75,0.05
6,San Dimas City,0.04,0.31,0.05,0.01,0.24,0.16,0.51,0.52,0.25
51,Blacksburg Town,0.04,1,0,0.09,0.11,0.43,0.39,0.16,0.05
48,Weatherford City,0.01,0.3,0,0.02,0.51,0.3,0.36,0.23,0.15
37,Salisbury City,0.02,0.38,0,0.03,0.53,0.23,0.67,0.27,0.46
39,Newark City,0.06,0.28,0.07,0.06,0.47,0.52,0.42,0.22,0.45
54,Huntington City,0.07,0.48,0.09,0.11,0.48,0.73,0.33,0.23,0.23
42,Stroud Township,0,0.22,0,0,0.31,0.27,0.43,0.4,0.08
18,Wabash City,0,0.3,0,0.01,0.56,0.42,0.79,0.21,0.08
48,Edinburg City,0.03,0.51,0.05,0.09,0.78,0.88,0.33,0.08,0.2
25,Lynn City,0.11,0.3,0.13,0.12,0.46,0.62,0.39,0.27,0.73
34,Woodbridge Township,0.13,0.25,0.15,0.02,0.38,0.27,0.53,0.45,0.17
42,Hampden Township,0.02,0.25,0.03,0,0.14,0.06,0.49,0.52,0.07
34,Jersey City,0.35,0.36,0.36,0.39,0.6,0.74,0.31,0.27,0.83
53,Port Angeles City,0.01,0.22,0,0.02,0.34,0.48,0.49,0.27,0.1
40,The Village City,0,0.18,0.02,0.01,0.18,0.18,0.81,0.31,0.25
39,Sandusky City,0.03,0.29,0,0.04,0.5,0.58,0.69,0.22,0.12
35,Silver City,0,0.39,0,0.02,0.47,0.77,0.27,0.13,0.25
48,Taylor City,0,0.29,0,0.02,0.71,0.48,0.72,0.17,0.3
34,Berkeley Heights Township,0,0.23,0.02,0,0.15,0.11,0.26,0.85,0.02
9,Manchester Town,0.07,0.28,0.08,0.02,0.27,0.19,0.77,0.46,0.19
37,Greensboro City,0.28,0.48,0.29,0.18,0.35,0.25,0.75,0.36,0.36
12,Coral Springs City,0.11,0.31,0.13,0.04,0.16,0.2,0.56,0.45,0.12
18,Schererville Town,0.02,0.27,0.03,0.01,0.2,0.15,0.33,0.46,0.01
42,Nether Providence Township,0.01,0.19,0.02,0,0.18,0.05,0.4,0.62,0.06
39,North Ridgeville City,0.02,0.31,0.03,0.01,0.35,0.22,0.57,0.31,0.1
34,Dover Town,0.01,0.36,0.02,0.01,0.56,0.46,0.69,0.35,0.1
25,Marl Borough City,0.04,0.32,0.05,0.02,0.28,0.38,0.63,0.46,0.21
39,Athens City,0.02,1,0,0.05,0.15,0.56,0.5,0.09,0.1
48,Watauga City,0.02,0.21,0.03,0,0.24,0.15,0.63,,0.07
49,North Ogden City,0,0.31,0.02,0,0.08,0.24,0.42,0.23,0.02
25,North Reading Town,0,0.27,0.02,0,0.21,0.32,0.6,0.48,0.03
50,Colchester Town,0.01,0.62,0.02,0,0.15,0.19,0.81,0.34,0.01
13,Savannah City,0.2,0.37,0.22,0.27,0.52,0.5,0.56,0.2,0.41
6,Redding City,0.09,0.27,0.11,0.08,0.32,0.58,0.35,0.27,0.26
37,Lexington City,0.01,0.32,0,0.03,0.71,0.37,0.63,0.22,0.42
12,North Lauderdale City,0.03,0.33,0.04,0.02,0.28,0.29,0.67,0.28,0.18
34,Little Falls Township,0,0.53,0.02,0,0.29,0.21,0.51,0.55,0.13
18,Lake Station City,0.01,0.33,0.02,0.01,0.65,0.49,0.28,0.18,0.29
6,Artesia City,0.01,0.4,0.02,0.01,0.77,0.41,0.39,0.26,0.68
42,Ephrata Borough,0,0.31,0,0.01,0.52,0.07,0.86,0.33,0.05
41,Eugene City,0.16,0.53,0.18,0.17,0.17,0.4,0.59,0.3,0.16
6,Torrance City,0.2,0.26,0.21,0.06,0.19,0.2,0.45,0.58,0.26
39,VanWert City,0,0.25,0,0.01,0.4,0.34,0.75,0.23,0.19
25,Melrose City,0.03,0.25,0.04,0.01,0.19,0.27,0.53,0.52,0.03
45,Clemson City,0,1,0,0.03,0.18,0.35,0.53,0.3,
24,Hyattsville City,0.01,0.29,0.02,0.01,0.4,0.3,0.9,0.37,
54,Vienna City,0,0.21,0.02,0,0.3,0.25,0.54,0.36,
12,Oakland Park City,0.03,0.29,0.04,0.02,0.37,0.26,0.67,0.35,0.66
34,Rutherford Borough,0.01,0.35,0.03,0.01,0.28,0.22,0.54,0.53,0.05
48,Mansfield City,0.01,0.29,0,0.01,0.3,0.31,0.44,0.32,0.27
6,Lodi City,0.07,0.27,0.08,0.06,0.48,0.4,0.32,0.33,0.49
48,Round Rock City,0.03,0.3,0,0.02,0.24,0.21,0.74,0.26,0.08
49,Spanish Fork City,0,0.33,0,0.01,0.24,0.4,0.34,0.12,0.04
51,Danville City,0.07,0.28,0.08,0.09,0.75,0.58,0.68,0.21,0.16
23,South Portland City,0.02,0.31,0.04,0.01,0.23,0.23,0.75,0.33,0.06
55,Water Town,0,0.41,0,0.01,0.49,0.2,0.85,0.22,0.04
36,Peekskill City,0.02,0.25,0.03,0.02,0.4,0.3,0.43,0.39,0.31
42,Lancaster City,0.07,0.45,0.09,0.1,0.68,0.4,0.35,0.19,0.36
39,Amherst City,0,0.26,0.02,0,0.35,0.28,0.61,0.35,0.05
55,FondduLac City,0.04,0.29,0,0.03,0.37,0.29,0.64,0.25,0.16
1,Sheffield City,0,0.29,0.02,0.02,0.6,0.48,0.54,0.19,0.1
48,Paris City,0.02,0.33,0,0.05,0.61,0.56,0.53,0.17,0.74
44,Pawtucket City,0.1,0.3,0.11,0.07,0.68,0.52,0.71,0.26,0.19
45,Newberry  Town,0,0.45,0,0.02,0.69,0.61,0.74,0.14,0.63
13,Decatur City,0.01,0.27,0.03,0.03,0.34,0.35,0.53,0.37,0.42
19,Fort Madison City,0,0.23,0,0.01,0.35,0.48,0.66,0.2,0.04
42,Logan Township,0,0.35,0.01,0.01,0.39,0.38,0.43,0.22,0.06
53,Wenatchee City,0.02,0.26,0,0.04,0.43,0.61,0.6,0.24,
9,New Haven Town,0.19,0.54,0.21,0.23,0.5,0.62,0.29,0.27,
25,Dracut Town,0.03,0.32,0.03,0.01,0.39,0.54,0.66,0.39,0.12
48,Ennis City,0.01,0.3,0,0.02,0.68,0.42,0.62,0.18,0.11
6,Marina City,0.03,0.54,0.04,0.02,0.26,0.17,0.41,0.21,0.27
55,Caledonia Town,0.02,0.28,0.03,0.01,0.29,0.24,0.61,0.39,0.02
25,Westfield City,0.05,0.45,0.06,0.03,0.36,0.3,0.53,0.31,0.37
53,Auburn City,0.04,0.3,0.05,0.03,0.3,0.28,0.53,0.3,0.18
25,Andover Town,0.03,0.25,0.04,0.01,0.12,0.21,0.47,0.73,0.04
42,Lebanon City,0.02,0.29,0,0.03,0.65,0.27,0.65,0.21,0.12
6,Visalia City,0.11,0.3,0.12,0.12,0.42,0.43,0.3,0.27,0.32
6,ElMonte City,0.15,0.5,0.17,0.21,1,0.63,0.06,0.1,0.54
39,Xenia City,0.02,0.31,0,0.03,0.43,0.48,0.43,0.2,0.18
6,Napa City,0.08,0.27,0.1,0.04,0.32,0.27,0.51,0.38,0.25
6,Bellflower City,0.08,0.34,0.1,0.05,0.48,0.35,0.47,0.31,0.7
12,New PortRichey City,0.01,0.18,0.02,0.02,0.57,0.36,0.59,0.21,0.22
45,Spartanburg City,0.05,0.42,0.07,0.08,0.6,0.43,0.63,0.24,1
55,La Crosse City,0.07,0.72,0.08,0.09,0.32,0.38,0.6,0.2,0.03
37,Charlotte City,0.62,0.32,0.63,0.39,0.32,0.22,0.63,0.4,0.74
12,Lakeland City,0.1,0.31,0.11,0.09,0.45,0.41,0.62,0.29,0.63
18,Carmel City,0.02,0.22,0.04,0,0.05,0.07,0.44,0.68,0.05
34,Somerville Borough,0,0.29,0.02,0.01,0.37,0.32,0.74,0.43,0.09
42,Hampton Township,0.01,0.18,0.02,0,0.2,0.15,0.29,0.51,0.04
45,North Charleston City,0.1,0.69,0.11,0.12,0.45,0.27,0.41,0.18,0.93
29,Poplar Bluff City,0.01,0.27,0,0.04,0.74,0.56,0.57,0.13,0.19
42,East Lampeter Township,0,0.28,0.01,0,0.47,0.08,0.43,0.4,0.06
54,Clarksburg City,0.01,0.21,0,0.03,0.5,0.76,0.54,0.18,0.03
48,Pecos City,0,0.3,0,0.03,0.94,0.93,0.14,0.08,0.1
18,La Porte City,0.02,0.29,0,0.02,0.48,0.29,0.66,0.24,0.53
12,Winter Haven City,0.02,0.2,0.04,0.03,0.5,0.41,0.61,0.31,0.59
51,Richmond City,0.31,0.4,0.32,0.37,0.56,0.4,0.57,0.3,0.67
9,Cheshire Town,0.03,0.34,0.03,0,0.17,0.17,0.64,0.62,0.01
44,Coventry Town,0.03,0.24,0.04,0.01,0.44,0.34,0.64,0.32,0.05
47,Oak Ridge City,0.03,0.19,0,0.02,0.23,0.28,0.58,0.43,0.14
1,Montgomery City,0.28,0.36,0.3,0.3,0.41,0.44,0.64,0.26,0.35
29,Overland City,0.01,0.21,0.03,0.01,0.52,0.39,0.84,0.27,0.17
29,Maryville City,0,1,0,0.02,0.27,0.34,1,0.13,0.05
25,Greenfield Town,0.01,0.26,0,0.02,0.33,0.36,0.54,0.29,0.69
25,Stoughton Town,0.03,0.31,0.04,0.01,0.29,0.35,0.6,0.42,0.11
47,Kingsport City,0.04,0.24,0.06,0.06,0.56,0.4,0.25,0.3,0.24
12,Wilton Manors City,0,0.15,0.02,0.01,0.33,0.22,0.8,0.39,0.35
18,Michigan City,0.04,0.31,0,0.05,0.54,0.51,0.69,0.19,0.27
25,East Bridgewater Town,0,0.34,0.01,0,0.27,0.46,0.71,0.34,0.13
6,Pittsburg City,0.06,0.32,0.08,0.05,0.4,0.44,0.45,0.29,0.36
1,Phenix City,0.02,0.33,0.04,0.05,0.72,0.58,0.51,0.16,0.34
9,Stratford Town,0.06,0.22,0.08,0.02,0.38,0.28,0.64,0.46,0.08
9,Plainfield Town,0.01,0.33,0,0.01,0.54,0.51,0.48,0.27,0.05
38,Bismarck City,0.06,0.29,0.08,0.04,0.27,0.24,0.88,0.28,0.03
48,Stephenville City,0.01,0.85,0,0.02,0.4,0.46,0.32,0.19,0.03
25,Dennis Town,0.01,0.14,0.01,0.01,0.18,0.57,0.59,0.35,0.12
42,Dunmore Borough,0.01,0.33,0.02,0.01,0.45,0.22,0.55,0.27,0.06
8,Englewood City,0.03,0.25,0.05,0.03,0.33,0.28,0.74,0.29,0.32
34,Carteret Borough,0.01,0.3,0.03,0.01,0.53,0.41,0.32,0.34,0.19
48,La Marque City,0.01,0.24,0.02,0.02,0.46,0.66,0.59,0.25,0.14
34,Long Branch City,0.03,0.28,0.05,0.04,0.49,0.56,0.51,0.38,0.51
33,Bedford Town,0,0.23,0,0,0.15,0.2,0.74,0.71,0.01
48,Greenville City,0.02,0.28,0,0.03,0.54,0.39,0.58,0.24,0.59
25,Westport Town,0.01,0.34,0.01,0,0.54,0.48,0.81,0.36,0.09
34,Lower Township,0.02,0.2,0,0.02,0.61,0.5,0.57,0.26,0.1
51,Williamsburg City,0,1,0.02,0.01,0.26,0.28,0.63,0.23,0.09
42,Upper Allen Township,0.01,0.69,0.02,0,0.16,0.16,0.67,0.43,0.03
42,Allen Town,0.15,0.33,0.17,0.12,0.53,0.38,0.5,0.26,0.28
39,Liberty Township,0.02,0.24,0.04,0.02,0.4,0.45,0.16,0.34,0.1
34,Sayreville Borough,0.04,0.28,0.06,0.01,0.37,0.21,0.44,0.45,0.12
6,Long Beach City,0.67,0.4,0.68,0.64,0.42,0.41,0.22,0.36,0.67
34,Montville Township,0.01,0.31,0.02,0,0.18,0.26,0.34,0.85,0.02
6,Fillmore City,0,0.37,0,0.01,0.77,0.41,0.51,0.19,0.29
53,Vancouver City,0.06,0.33,0.07,0.07,0.33,0.49,0.35,0.25,0.36
39,Delaware City,0.02,0.57,0,0.02,0.34,0.23,0.68,0.24,0.11
1,FortPayne City,0,0.27,0,0.01,0.72,0.19,0.77,0.2,0.03
1,Northport City,0.01,0.35,0.03,0.03,0.46,0.37,0.56,0.26,0.35
13,Dalton City,0.02,0.4,0,0.03,0.67,0.35,0.68,0.35,0.25
40,Bethany City,0.02,0.39,0.03,0.01,0.35,0.38,0.64,0.25,0.06
6,Beverly Hills City,0.04,0.22,0.05,0.02,0.16,0.19,0.17,1,0.45
48,Bay Town City,0.09,0.37,0.1,0.09,0.5,0.51,0.2,0.27,0.23
39,Zanesville City,0.03,0.3,0,0.06,0.67,0.91,0.4,0.15,0.32
34,Mount Laurel Township,0.03,0.21,0.04,0,0.15,0.1,0.54,0.62,0.04
25,Belmont Town,0.02,0.22,0.04,0.01,0.12,0.2,0.38,0.75,0.02
29,Arnold City,0.01,0.33,0.03,0.01,0.49,0.34,0.67,0.26,0.16
34,Gloucester  Township,0.07,0.29,0.08,0.02,0.31,0.3,0.49,0.35,0.12
34,Bayonne City,0.08,0.25,0.1,0.05,0.52,0.35,0.41,0.38,0.2
39,Canton City,0.12,0.3,0.13,0.16,0.58,0.77,0.27,0.17,0.51
34,North Plainfield Borough,0.01,0.23,0.03,0.01,0.27,0.19,0.59,0.48,0.18
36,Niagara Falls City,0.08,0.28,0.1,0.1,0.56,0.74,0.4,0.2,0.3
37,Monroe City,0.01,0.37,0,0.02,0.61,0.37,0.69,0.2,0.37
6,Sanger City,0.01,0.39,0,0.03,0.91,1,0.51,0.11,0.31
39,Brooklyn City,0,0.24,0.02,0.01,0.51,0.21,0.45,0.3,0.04
